trial_index,source,objective_avg_total_time,best_so_far_avg_total_time,weights_json,gp_mu,gp_sigma,lcb,waiting,maneuver,exit_competition,path_conflict,approach_queue
37,lcb,51.93,49.69,"{""approach_queue"": 1.5417892989963882, ""exit_competition"": 2.428297610753842, ""maneuver"": 1.7673803251578173, ""path_conflict"": -0.8023852904293509, ""remaining_path"": 0.0, ""same_direction_backlog"": 0.0, ""waiting"": 0.06915736724527333}",50.20682422877919,0.3621259502221296,49.1204463781128,0.06915736724527333,1.7673803251578173,2.428297610753842,-0.8023852904293509,1.5417892989963882
38,lcb,50.23,49.69,"{""approach_queue"": 1.940727694537732, ""exit_competition"": -2.3251734347852975, ""maneuver"": -1.5940934182351896, ""path_conflict"": -0.9995373102532872, ""remaining_path"": 0.0, ""same_direction_backlog"": 0.0, ""waiting"": 0.13365548379400155}",50.126787160385256,0.40955606946261236,48.89811895199742,0.13365548379400155,-1.5940934182351896,-2.3251734347852975,-0.9995373102532872,1.940727694537732
39,lcb,51.91,49.69,"{""approach_queue"": -2.226662329163134, ""exit_competition"": 2.411153625189402, ""maneuver"": 1.9854850412078537, ""path_conflict"": 2.970145397334231, ""remaining_path"": 0.0, ""same_direction_backlog"": 0.0, ""waiting"": 0.3833424309597458}",50.08729274425208,0.4152971368278623,48.841401333768495,0.3833424309597458,1.9854850412078537,2.411153625189402,2.970145397334231,-2.226662329163134
40,lcb,49.73,49.69,"{""approach_queue"": -2.2310961250375905, ""exit_competition"": 2.206336575131309, ""maneuver"": -1.2409398093740598, ""path_conflict"": 2.5767592635651324, ""remaining_path"": 0.0, ""same_direction_backlog"": 0.0, ""waiting"": 2.350001817422413}",49.96494955866936,0.387735285968205,48.801743700764746,2.350001817422413,-1.2409398093740598,2.206336575131309,2.5767592635651324,-2.2310961250375905
41,lcb,49.71,49.69,"{""approach_queue"": -2.42806431483905, ""exit_competition"": 2.1908674826392076, ""maneuver"": -1.7815500478427082, ""path_conflict"": -0.6138426783322299, ""remaining_path"": 0.0, ""same_direction_backlog"": 0.0, ""waiting"": 2.476043541420321}",50.13685847606105,0.4313301148801999,48.84286813142045,2.476043541420321,-1.7815500478427082,2.1908674826392076,-0.6138426783322299,-2.42806431483905
42,lcb,50.2,49.69,"{""approach_queue"": 0.14643665413857443, ""exit_competition"": 0.048342393601839895, ""maneuver"": -1.9393023254549746, ""path_conflict"": 2.924879386057864, ""remaining_path"": 0.0, ""same_direction_backlog"": 0.0, ""waiting"": 0.052173052473207804}",50.05141722205699,0.3919501074949042,48.87556689957228,0.052173052473207804,-1.9393023254549746,0.048342393601839895,2.924879386057864,0.14643665413857443
43,lcb,50.0,49.69,"{""approach_queue"": -2.425445131164123, ""exit_competition"": 0.5194892095353594, ""maneuver"": -0.6468578239282214, ""path_conflict"": 0.8145032642947525, ""remaining_path"": 0.0, ""same_direction_backlog"": 0.0, ""waiting"": 2.4697932372374325}",49.64461639799321,0.28444520370463416,48.791280786879305,2.4697932372374325,-0.6468578239282214,0.5194892095353594,0.8145032642947525,-2.425445131164123
44,lcb,50.01,49.69,"{""approach_queue"": 1.2264375536034504, ""exit_competition"": -2.493316115248812, ""maneuver"": -1.988704052433806, ""path_conflict"": -0.9994954637117712, ""remaining_path"": 0.0, ""same_direction_backlog"": 0.0, ""waiting"": 2.38948997544676}",50.08215806755937,0.42574364962724326,48.80492711867764,2.38948997544676,-1.988704052433806,-2.493316115248812,-0.9994954637117712,1.2264375536034504
45,lcb,50.2,49.69,"{""approach_queue"": -1.6791967980536289, ""exit_competition"": -2.4631430763852724, ""maneuver"": 1.3896688959132493, ""path_conflict"": 1.8850285670689075, ""remaining_path"": 0.0, ""same_direction_backlog"": 0.0, ""waiting"": 2.393940385042876}",50.267292101122216,0.4316799167246031,48.97225235094841,2.393940385042876,1.3896688959132493,-2.4631430763852724,1.8850285670689075,-1.6791967980536289
46,lcb,49.79,49.69,"{""approach_queue"": -2.350769409040267, ""exit_competition"": 2.4924915403279764, ""maneuver"": -1.5619523722422315, ""path_conflict"": 1.578749567561014, ""remaining_path"": 0.0, ""same_direction_backlog"": 0.0, ""waiting"": 1.3360282132149273}",49.755309265916694,0.2854892983999482,48.89884137071685,1.3360282132149273,-1.5619523722422315,2.4924915403279764,1.578749567561014,-2.350769409040267
47,lcb,50.65,49.69,"{""approach_queue"": 1.8628826312850828, ""exit_competition"": -2.3970232523305284, ""maneuver"": 1.9227278879448297, ""path_conflict"": -0.6810482477707889, ""remaining_path"": 0.0, ""same_direction_backlog"": 0.0, ""waiting"": 2.437480152510153}",50.24528870617515,0.43868534155154754,48.92923268152051,2.437480152510153,1.9227278879448297,-2.3970232523305284,-0.6810482477707889,1.8628826312850828
48,lcb,49.66,49.66,"{""approach_queue"": 1.9345608041929463, ""exit_competition"": 1.4539463213853687, ""maneuver"": -1.7823979392556368, ""path_conflict"": -0.8894222882728342, ""remaining_path"": 0.0, ""same_direction_backlog"": 0.0, ""waiting"": 2.376361971663026}",50.29512862773433,0.46511639390459075,48.89977944602056,2.376361971663026,-1.7823979392556368,1.4539463213853687,-0.8894222882728342,1.9345608041929463
49,lcb,49.74,49.66,"{""approach_queue"": 0.18674016503197777, ""exit_competition"": 0.937908094426521, ""maneuver"": -1.791658922347903, ""path_conflict"": -0.8778104642267013, ""remaining_path"": 0.0, ""same_direction_backlog"": 0.0, ""waiting"": 2.430222055531184}",49.7844779644436,0.30144488946327336,48.88014329605378,2.430222055531184,-1.791658922347903,0.937908094426521,-0.8778104642267013,0.18674016503197777
