feature,weight,overall_avg_total_time,case_1_avg_total_time,case_2_avg_total_time,case_3_avg_total_time,case_4_avg_total_time,best_so_far_avg_total_time,weights_json
waiting,6.25,58.3675,54.09,53.65,67.54,58.19,58.36,"{""approach_queue"": 1.0, ""exit_competition"": 1.0, ""maneuver"": 1.0, ""path_conflict"": 1.0, ""remaining_path"": 0.0, ""same_direction_backlog"": 0.0, ""waiting"": 6.25}"
waiting,6.5,58.355,54.09,53.65,67.54,58.14,58.355,"{""approach_queue"": 1.0, ""exit_competition"": 1.0, ""maneuver"": 1.0, ""path_conflict"": 1.0, ""remaining_path"": 0.0, ""same_direction_backlog"": 0.0, ""waiting"": 6.5}"
waiting,6.75,58.355,54.09,53.65,67.54,58.14,58.355,"{""approach_queue"": 1.0, ""exit_competition"": 1.0, ""maneuver"": 1.0, ""path_conflict"": 1.0, ""remaining_path"": 0.0, ""same_direction_backlog"": 0.0, ""waiting"": 6.75}"
waiting,7.0,58.34,54.04,53.65,67.53,58.14,58.34,"{""approach_queue"": 1.0, ""exit_competition"": 1.0, ""maneuver"": 1.0, ""path_conflict"": 1.0, ""remaining_path"": 0.0, ""same_direction_backlog"": 0.0, ""waiting"": 7.0}"
waiting,7.25,58.34,54.04,53.65,67.53,58.14,58.34,"{""approach_queue"": 1.0, ""exit_competition"": 1.0, ""maneuver"": 1.0, ""path_conflict"": 1.0, ""remaining_path"": 0.0, ""same_direction_backlog"": 0.0, ""waiting"": 7.25}"
waiting,7.5,58.3425,54.04,53.66,67.53,58.14,58.34,"{""approach_queue"": 1.0, ""exit_competition"": 1.0, ""maneuver"": 1.0, ""path_conflict"": 1.0, ""remaining_path"": 0.0, ""same_direction_backlog"": 0.0, ""waiting"": 7.5}"
waiting,7.75,58.3425,54.04,53.66,67.53,58.14,58.34,"{""approach_queue"": 1.0, ""exit_competition"": 1.0, ""maneuver"": 1.0, ""path_conflict"": 1.0, ""remaining_path"": 0.0, ""same_direction_backlog"": 0.0, ""waiting"": 7.75}"
waiting,8.0,58.3475,54.03,53.69,67.53,58.14,58.34,"{""approach_queue"": 1.0, ""exit_competition"": 1.0, ""maneuver"": 1.0, ""path_conflict"": 1.0, ""remaining_path"": 0.0, ""same_direction_backlog"": 0.0, ""waiting"": 8.0}"
waiting,8.25,58.3475,54.03,53.69,67.53,58.14,58.34,"{""approach_queue"": 1.0, ""exit_competition"": 1.0, ""maneuver"": 1.0, ""path_conflict"": 1.0, ""remaining_path"": 0.0, ""same_direction_backlog"": 0.0, ""waiting"": 8.25}"
waiting,8.5,58.3475,54.03,53.69,67.53,58.14,58.34,"{""approach_queue"": 1.0, ""exit_competition"": 1.0, ""maneuver"": 1.0, ""path_conflict"": 1.0, ""remaining_path"": 0.0, ""same_direction_backlog"": 0.0, ""waiting"": 8.5}"
waiting,8.75,58.3425,54.01,53.69,67.53,58.14,58.34,"{""approach_queue"": 1.0, ""exit_competition"": 1.0, ""maneuver"": 1.0, ""path_conflict"": 1.0, ""remaining_path"": 0.0, ""same_direction_backlog"": 0.0, ""waiting"": 8.75}"
waiting,9.0,58.3325,53.97,53.69,67.53,58.14,58.3325,"{""approach_queue"": 1.0, ""exit_competition"": 1.0, ""maneuver"": 1.0, ""path_conflict"": 1.0, ""remaining_path"": 0.0, ""same_direction_backlog"": 0.0, ""waiting"": 9.0}"
waiting,9.25,58.3325,53.97,53.69,67.53,58.14,58.3325,"{""approach_queue"": 1.0, ""exit_competition"": 1.0, ""maneuver"": 1.0, ""path_conflict"": 1.0, ""remaining_path"": 0.0, ""same_direction_backlog"": 0.0, ""waiting"": 9.25}"
