seed,policy_type,num_robots,num_aisles,capacity,arrival_rate,Favg,Fmax,Throughput,BlockingTime,AvgQueueLength,DeadlockCount,TriggerCount,RerouteCount,CollisionAttempts,ForcedRelocationCount,RobotUtilization,AverageTravelDistance,Zone0AvgQueueLength,Zone1AvgQueueLength,Zone2AvgQueueLength,Zone3AvgQueueLength,Zone4AvgQueueLength
0,rule_based,5,12,small,high,49.76056338028169,275.0,71.0,376.0,10.89,1.0,0.0,47.0,212,1,0.9572,400.4,1.256,1.104,7.36,0.912,0.258
0,fsd,5,12,small,high,105.5925925925926,266.0,54.0,355.0,18.124,0.0,173.0,0.0,188,0,0.97,414.0,1.354,1.562,13.402,1.004,0.802
0,rule_based,5,12,large,low,38.8421052631579,95.0,38.0,74.0,0.0,2.0,0.0,10.0,18,2,0.632,301.2,0.0,0.0,0.0,0.0,0.0
0,fsd,5,12,large,low,36.205128205128204,70.0,39.0,10.0,0.002,0.0,6.0,0.0,5,0,0.6036,299.8,0.002,0.0,0.0,0.0,0.0
0,rule_based,5,12,large,medium,63.16326530612245,202.0,49.0,70.0,3.512,0.0,0.0,9.0,36,0,0.9612,466.6,1.22,0.816,0.086,0.554,0.836
0,fsd,5,12,large,medium,83.29787234042553,204.0,47.0,50.0,5.262,0.0,22.0,0.0,31,0,0.968,474.0,1.76,0.47,0.57,0.95,1.512
0,rule_based,5,12,large,high,66.44,344.0,50.0,836.0,24.224,0.0,0.0,90.0,424,0,0.98,322.8,2.898,0.514,18.122,2.258,0.432
0,fsd,5,12,large,high,139.9318181818182,308.0,44.0,252.0,23.644,0.0,121.0,0.0,140,0,0.98,439.6,1.52,0.942,18.194,2.076,0.912
1,rule_based,3,6,small,low,31.325,69.0,40.0,75.0,0.218,1.0,0.0,8.0,36,1,0.7813333333333333,362.3333333333333,0.072,0.112,0.034,,
1,fsd,3,6,small,low,35.861111111111114,89.0,36.0,90.0,0.576,0.0,45.0,0.0,52,0,0.8426666666666667,391.3333333333333,0.166,0.092,0.318,,
1,rule_based,3,6,small,medium,53.75,276.0,48.0,133.0,6.36,1.0,0.0,18.0,68,1,0.984,447.6666666666667,2.598,1.474,2.288,,
1,fsd,3,6,small,medium,78.75510204081633,176.0,49.0,27.0,6.702,0.0,12.0,0.0,17,0,0.984,483.0,1.724,2.61,2.368,,
1,rule_based,3,6,small,high,42.74603174603175,300.0,63.0,221.0,18.284,0.0,0.0,27.0,118,0,0.984,418.3333333333333,2.022,11.042,5.22,,
1,fsd,3,6,small,high,117.62,321.0,50.0,101.0,21.82,0.0,50.0,0.0,58,0,0.984,458.3333333333333,2.21,12.756,6.854,,
1,rule_based,3,6,large,low,48.75,104.0,16.0,318.0,7.018,0.0,0.0,52.0,115,0,0.9753333333333334,381.6666666666667,3.308,1.962,1.748,,
1,fsd,3,6,large,low,74.45454545454545,189.0,33.0,34.0,3.33,0.0,18.0,0.0,20,0,0.976,476.6666666666667,1.73,0.97,0.63,,
1,rule_based,3,6,large,medium,79.17241379310344,227.0,29.0,258.0,15.208,0.0,0.0,37.0,136,0,0.984,406.0,6.532,3.482,5.194,,
1,fsd,3,6,large,medium,147.4814814814815,283.0,27.0,89.0,15.812,0.0,43.0,0.0,48,0,0.984,462.3333333333333,5.538,3.844,6.43,,
1,rule_based,3,6,large,high,59.31578947368421,201.0,38.0,289.0,28.888,1.0,0.0,44.0,145,1,0.99,398.6666666666667,3.154,15.62,10.114,,
1,fsd,3,6,large,high,172.0,377.0,35.0,15.0,30.83,0.0,7.0,0.0,8,0,0.99,490.0,3.272,15.792,11.766,,
1,rule_based,3,12,small,low,38.28947368421053,78.0,38.0,45.0,0.402,0.0,0.0,6.0,23,0,0.9053333333333333,436.0,0.11,0.184,0.108,,
1,fsd,3,12,small,low,42.717948717948715,96.0,39.0,35.0,0.742,0.0,17.0,0.0,21,0,0.9433333333333334,460.0,0.41,0.178,0.154,,
1,rule_based,3,12,small,medium,53.52,293.0,50.0,25.0,5.924,0.0,0.0,3.0,14,0,0.9746666666666667,479.0,1.188,1.942,2.794,,
1,fsd,3,12,small,medium,105.92857142857143,193.0,42.0,21.0,9.662,0.0,9.0,0.0,13,0,0.9746666666666667,480.3333333333333,2.532,3.644,3.486,,
1,rule_based,3,12,small,high,46.111111111111114,251.0,63.0,124.0,16.682,0.0,0.0,15.0,65,0,0.986,451.6666666666667,1.082,11.578,4.022,,
1,fsd,3,12,small,high,134.86,278.0,50.0,27.0,23.366,0.0,10.0,0.0,18,0,0.99,486.0,2.442,16.98,3.944,,
1,rule_based,3,12,large,low,55.774193548387096,117.0,31.0,113.0,2.794,0.0,0.0,17.0,57,0,0.976,450.3333333333333,1.224,0.65,0.92,,
1,fsd,3,12,large,low,67.97222222222223,140.0,36.0,0.0,2.518,0.0,0.0,0.0,0,0,0.976,488.0,1.21,0.748,0.56,,
1,rule_based,3,12,large,medium,61.05882352941177,234.0,34.0,161.0,11.224,0.0,0.0,24.0,82,0,0.984,438.3333333333333,4.734,2.808,3.682,,
1,fsd,3,12,large,medium,153.76666666666668,290.0,30.0,24.0,15.162,0.0,11.0,0.0,14,0,0.984,484.0,4.948,4.026,6.188,,
1,rule_based,3,12,large,high,48.67567567567568,211.0,37.0,258.0,27.692,0.0,0.0,39.0,131,0,0.99,409.0,3.4,18.876,5.416,,
1,fsd,3,12,large,high,193.2972972972973,320.0,37.0,6.0,31.764,0.0,3.0,0.0,4,0,0.99,493.0,3.91,21.284,6.57,,
1,rule_based,4,6,small,low,27.025,103.0,40.0,108.0,0.008,1.0,0.0,14.0,31,1,0.5525,249.25,0.0,0.008,0.0,0.0,
1,fsd,4,6,small,low,27.36842105263158,64.0,38.0,46.0,0.034,0.0,24.0,0.0,26,0,0.595,286.0,0.008,0.018,0.0,0.008,
1,rule_based,4,6,small,medium,43.642857142857146,92.0,28.0,783.0,8.474,12.0,0.0,46.0,444,12,0.9665,287.5,2.252,0.924,3.15,2.148,
1,fsd,4,6,small,medium,43.07142857142857,81.0,56.0,84.0,1.446,0.0,39.0,0.0,54,0,0.967,462.5,0.334,0.252,0.654,0.206,
1,rule_based,4,6,small,high,41.52857142857143,283.0,70.0,321.0,12.452,0.0,0.0,39.0,168,0,0.9755,407.5,1.492,3.206,7.416,0.338,
1,fsd,4,6,small,high,90.84615384615384,210.0,65.0,101.0,14.586,0.0,45.0,0.0,63,0,0.9835,466.5,0.992,4.256,9.012,0.326,
1,rule_based,4,6,large,low,44.108108108108105,109.0,37.0,161.0,0.218,2.0,0.0,19.0,74,2,0.8715,395.5,0.11,0.016,0.09,0.002,
1,fsd,4,6,large,low,57.7027027027027,156.0,37.0,62.0,1.002,0.0,30.0,0.0,38,0,0.927,448.0,0.572,0.068,0.258,0.104,
1,rule_based,4,6,large,medium,71.3157894736842,290.0,38.0,299.0,10.5,0.0,0.0,42.0,144,0,0.976,413.25,5.42,1.696,2.136,1.248,
1,fsd,4,6,large,medium,147.0,258.0,38.0,112.0,12.348,0.0,53.0,0.0,64,0,0.976,460.0,4.34,1.074,5.738,1.196,
1,rule_based,4,6,large,high,61.513513513513516,279.0,37.0,512.0,26.242,1.0,0.0,71.0,259,1,0.985,362.0,3.16,8.746,12.51,1.826,
1,fsd,4,6,large,high,152.06382978723406,291.0,47.0,63.0,24.794,0.0,29.0,0.0,38,0,0.985,476.75,2.608,6.608,13.946,1.632,
1,rule_based,4,12,small,low,28.05263157894737,64.0,38.0,50.0,0.0,1.0,0.0,6.0,22,1,0.585,280.0,0.0,0.0,0.0,0.0,
1,fsd,4,12,small,low,30.710526315789473,71.0,38.0,46.0,0.018,0.0,22.0,0.0,28,0,0.641,309.0,0.0,0.008,0.01,0.0,
1,rule_based,4,12,small,medium,66.98039215686275,425.0,51.0,224.0,5.69,0.0,0.0,34.0,116,0,0.9615,423.5,1.304,0.48,1.008,2.898,
1,fsd,4,12,small,medium,73.92727272727272,134.0,55.0,57.0,5.006,0.0,25.0,0.0,36,0,0.9615,466.5,1.172,0.814,1.666,1.354,
1,rule_based,4,12,small,high,55.175438596491226,231.0,57.0,663.0,19.972,2.0,0.0,73.0,339,2,0.9795,324.0,2.032,5.518,9.994,2.428,
1,fsd,4,12,small,high,124.70175438596492,249.0,57.0,130.0,19.892,0.0,58.0,0.0,77,0,0.9835,459.25,1.368,6.156,10.406,1.962,
1,rule_based,4,12,large,low,41.58974358974359,115.0,39.0,12.0,0.192,0.0,0.0,1.0,7,0,0.793,393.5,0.056,0.024,0.098,0.014,
1,fsd,4,12,large,low,49.729729729729726,100.0,37.0,52.0,0.406,0.0,24.0,0.0,31,0,0.8985,436.25,0.192,0.04,0.13,0.044,
1,rule_based,4,12,large,medium,68.88888888888889,297.0,45.0,106.0,8.088,0.0,0.0,15.0,55,0,0.976,461.5,2.598,1.84,2.41,1.24,
1,fsd,4,12,large,medium,124.575,236.0,40.0,26.0,10.566,0.0,11.0,0.0,16,0,0.976,481.5,2.822,1.908,2.85,2.986,
1,rule_based,4,12,large,high,56.2,199.0,45.0,414.0,23.338,0.0,0.0,56.0,222,0,0.985,389.0,0.786,8.882,10.654,3.016,
1,fsd,4,12,large,high,151.4047619047619,315.0,42.0,90.0,26.048,0.0,42.0,0.0,50,0,0.985,470.0,1.862,7.874,12.596,3.716,
1,rule_based,5,6,small,low,27.615384615384617,103.0,39.0,162.0,0.0,6.0,0.0,19.0,36,6,0.4836,209.4,0.0,0.0,0.0,0.0,0.0
1,fsd,5,6,small,low,26.575,65.0,40.0,41.0,0.0,0.0,19.0,1.0,18,0,0.458,220.8,0.0,0.0,0.0,0.0,0.0
1,rule_based,5,6,small,medium,41.4,148.0,55.0,354.0,0.748,1.0,0.0,52.0,173,1,0.902,380.2,0.14,0.08,0.032,0.198,0.298
1,fsd,5,6,small,medium,37.666666666666664,65.0,57.0,150.0,0.25,0.0,67.0,0.0,89,0,0.8964,418.2,0.062,0.044,0.076,0.018,0.05
1,rule_based,5,6,small,high,34.13636363636363,128.0,44.0,988.0,14.872,7.0,0.0,62.0,576,7,0.9584,273.6,1.944,5.328,3.456,3.966,0.178
1,fsd,5,6,small,high,83.61764705882354,209.0,68.0,218.0,12.142,0.0,97.0,1.0,129,0,0.962,437.4,0.766,3.678,4.01,3.492,0.196
1,rule_based,5,6,large,low,55.888888888888886,269.0,36.0,357.0,0.75,1.0,0.0,44.0,176,1,0.8372,345.2,0.556,0.028,0.076,0.088,0.002
1,fsd,5,6,large,low,50.18421052631579,110.0,38.0,79.0,0.044,0.0,40.0,0.0,44,0,0.8124,390.4,0.032,0.0,0.01,0.002,0.0
1,rule_based,5,6,large,medium,69.76,293.0,50.0,289.0,6.228,5.0,0.0,32.0,153,5,0.9672,417.4,2.584,1.492,0.984,0.8,0.368
1,fsd,5,6,large,medium,96.04347826086956,188.0,46.0,122.0,6.532,0.0,56.0,0.0,72,0,0.968,459.6,2.572,0.434,1.162,1.892,0.472
1,rule_based,5,6,large,high,54.05263157894737,158.0,38.0,656.0,21.748,1.0,0.0,91.0,364,1,0.98,356.8,1.88,7.976,5.246,4.636,2.01
1,fsd,5,6,large,high,160.36111111111111,361.0,36.0,493.0,28.776,0.0,245.0,0.0,249,0,0.98,391.4,2.72,6.652,6.93,10.658,1.816
1,rule_based,5,12,small,low,25.875,73.0,40.0,60.0,0.0,2.0,0.0,6.0,13,2,0.4348,205.4,0.0,0.0,0.0,0.0,0.0
